tempName,tempRole,tempClass,tempKey,ItemId,Spec
Eternal Commander MK-15 Eliminator's Body Armor,dps,merc,dpsmerc,573,mercBurst
Eternal Commander MK-15 Enforcer's Jacket,dps,op,dpsop,586,opBurst
Eternal Commander MK-15 Field Medic's Jacket,healer,op,healerop,593,opHealer
Eternal Commander MK-15 Field Tech's Jacket,dps,sniper,dpssniper,600,sniperBurst
Eternal Commander MK-15 Force-Master's Robe,dps,sorc,dpssorc,613,sorcBurst
Eternal Commander MK-15 Force-Mystic's Robe,healer,sorc,healersorc,620,sorcHealer
Eternal Commander MK-15 Stalker's Robe,dps,sin,dpssin,642,sinBurst
Eternal Commander MK-15 Supercommando's Body Armor,tank,pt,tankpt,647,ptTank
Eternal Commander MK-15 Survivor's Robe,tank,sin,tanksin,660,sinTank
Eternal Commander MK-15 Vindicator's Chestguard,dps,jugg,dpsjugg,665,juggSust
Eternal Commander MK-15 War Leader's Chestguard,tank,jugg,tankjugg,672,juggTank
Eternal Commander MK-15 Weaponmaster's Chestguard,dps,mara,dpsmara,681,maraSust
Eternal Commander MK-2 Combat Medic's Body Armor,healer,merc,healermerc,693,mercHealer
Eternal Commander MK-2 Combat Tech's Body Armor,dps,pt,dpspt,700,ptSust
Eternal Commander MK-2 Eliminator's Body Armor,dps,merc,dpsmerc,710,mercBurst
Eternal Commander MK-2 Enforcer's Jacket,dps,op,dpsop,723,opBurst
Eternal Commander MK-2 Field Medic's Jacket,healer,op,healerop,730,opHealer
Eternal Commander MK-2 Field Tech's Jacket,dps,sniper,dpssniper,737,sniperBurst
Eternal Commander MK-2 Force-Master's Robe,dps,sorc,dpssorc,750,sorcBurst
Eternal Commander MK-2 Force-Mystic's Robe,healer,sorc,healersorc,757,sorcHealer
Eternal Commander MK-2 Stalker's Robe,dps,sin,dpssin,779,sinBurst
Eternal Commander MK-2 Supercommando's Body Armor,tank,pt,tankpt,784,ptTank
Eternal Commander MK-2 Survivor's Robe,tank,sin,tanksin,797,sinTank
Eternal Commander MK-2 Vindicator's Chestguard,dps,jugg,dpsjugg,802,juggSust
Eternal Commander MK-2 War Leader's Chestguard,tank,jugg,tankjugg,809,juggTank
Eternal Commander MK-2 Weaponmaster's Chestguard,dps,mara,dpsmara,818,maraSust
Eternal Commander MK-3 Combat Medic's Body Armor,healer,merc,healermerc,830,mercHealer
Eternal Commander MK-3 Combat Tech's Body Armor,dps,pt,dpspt,837,ptSust
Eternal Commander MK-3 Eliminator's Body Armor,dps,merc,dpsmerc,847,mercBurst
Eternal Commander MK-3 Enforcer's Jacket,dps,op,dpsop,860,opBurst
Eternal Commander MK-3 Field Medic's Jacket,healer,op,healerop,867,opHealer
Eternal Commander MK-3 Field Tech's Jacket,dps,sniper,dpssniper,874,sniperBurst
Eternal Commander MK-3 Force-Master's Robe,dps,sorc,dpssorc,887,sorcBurst
Eternal Commander MK-3 Force-Mystic's Robe,healer,sorc,healersorc,894,sorcHealer
Eternal Commander MK-3 Stalker's Robe,dps,sin,dpssin,916,sinBurst
Eternal Commander MK-3 Supercommando's Body Armor,tank,pt,tankpt,921,ptTank
Eternal Commander MK-3 Survivor's Robe,tank,sin,tanksin,934,sinTank
Eternal Commander MK-3 Vindicator's Chestguard,dps,jugg,dpsjugg,939,juggSust
Eternal Commander MK-3 War Leader's Chestguard,tank,jugg,tankjugg,946,juggTank
Eternal Commander MK-3 Weaponmaster's Chestguard,dps,mara,dpsmara,955,maraSust
GEMINI MK-1 Combat Medic's Body Armor,healer,merc,healermerc,967,mercHealer
GEMINI MK-1 Combat Tech's Body Armor,dps,pt,dpspt,974,ptSust
GEMINI MK-1 Eliminator's Body Armor,dps,merc,dpsmerc,984,mercBurst
GEMINI MK-1 Enforcer's Jacket,dps,op,dpsop,997,opBurst
GEMINI MK-1 Field Medic's Jacket,healer,op,healerop,1004,opHealer
GEMINI MK-1 Field Tech's Jacket,dps,sniper,dpssniper,1011,sniperBurst
GEMINI MK-1 Force-Master's Robe,dps,sorc,dpssorc,1024,sorcBurst
GEMINI MK-1 Force-Mystic's Robe,healer,sorc,healersorc,1031,sorcHealer
GEMINI MK-1 Stalker's Robe,dps,sin,dpssin,1053,sinBurst
GEMINI MK-1 Supercommando's Body Armor,tank,pt,tankpt,1058,ptTank
GEMINI MK-1 Survivor's Robe,tank,sin,tanksin,1071,sinTank
GEMINI MK-1 Vindicator's Chestguard,dps,jugg,dpsjugg,1076,juggSust
GEMINI MK-1 War Leader's Chestguard,tank,jugg,tankjugg,1083,juggTank
GEMINI MK-1 Weaponmaster's Chestguard,dps,mara,dpsmara,1092,maraSust
GEMINI MK-2 Combat Medic's Body Armor,healer,merc,healermerc,1104,mercHealer
GEMINI MK-2 Combat Tech's Body Armor,dps,pt,dpspt,1111,ptSust
GEMINI MK-2 Eliminator's Body Armor,dps,merc,dpsmerc,1121,mercBurst
GEMINI MK-2 Enforcer's Jacket,dps,op,dpsop,1134,opBurst
GEMINI MK-2 Field Medic's Jacket,healer,op,healerop,1141,opHealer
GEMINI MK-2 Field Tech's Jacket,dps,sniper,dpssniper,1148,sniperBurst
GEMINI MK-2 Force-Master's Robe,dps,sorc,dpssorc,1161,sorcBurst
GEMINI MK-2 Force-Mystic's Robe,healer,sorc,healersorc,1168,sorcHealer
GEMINI MK-2 Stalker's Robe,dps,sin,dpssin,1190,sinBurst
GEMINI MK-2 Supercommando's Body Armor,tank,pt,tankpt,1195,ptTank
GEMINI MK-2 Survivor's Robe,tank,sin,tanksin,1208,sinTank
GEMINI MK-2 Vindicator's Chestguard,dps,jugg,dpsjugg,1213,juggSust
GEMINI MK-2 War Leader's Chestguard,tank,jugg,tankjugg,1220,juggTank
GEMINI MK-2 Weaponmaster's Chestguard,dps,mara,dpsmara,1229,maraSust
GEMINI MK-3 Combat Medic's Body Armor,healer,merc,healermerc,1241,mercHealer
GEMINI MK-3 Combat Tech's Body Armor,dps,pt,dpspt,1248,ptSust
GEMINI MK-3 Eliminator's Body Armor,dps,merc,dpsmerc,1258,mercBurst
GEMINI MK-3 Enforcer's Jacket,dps,op,dpsop,1271,opBurst
GEMINI MK-3 Field Medic's Jacket,healer,op,healerop,1278,opHealer
GEMINI MK-3 Field Tech's Jacket,dps,sniper,dpssniper,1285,sniperBurst
GEMINI MK-3 Force-Master's Robe,dps,sorc,dpssorc,1298,sorcBurst
GEMINI MK-3 Force-Mystic's Robe,healer,sorc,healersorc,1305,sorcHealer
GEMINI MK-3 Stalker's Robe,dps,sin,dpssin,1327,sinBurst
GEMINI MK-3 Supercommando's Body Armor,tank,pt,tankpt,1332,ptTank
GEMINI MK-3 Survivor's Robe,tank,sin,tanksin,1345,sinTank
GEMINI MK-3 Vindicator's Chestguard,dps,jugg,dpsjugg,1350,juggSust
GEMINI MK-3 War Leader's Chestguard,tank,jugg,tankjugg,1357,juggTank
GEMINI MK-3 Weaponmaster's Chestguard,dps,mara,dpsmara,1366,maraSust
GEMINI MK-5 Combat Medic's Body Armor,healer,merc,healermerc,1378,mercHealer
GEMINI MK-5 Combat Tech's Body Armor,dps,pt,dpspt,1385,ptSust
GEMINI MK-5 Eliminator's Body Armor,dps,merc,dpsmerc,1395,mercBurst
GEMINI MK-5 Enforcer's Jacket,dps,op,dpsop,1408,opBurst
GEMINI MK-5 Field Medic's Jacket,healer,op,healerop,1415,opHealer
GEMINI MK-5 Field Tech's Jacket,dps,sniper,dpssniper,1422,sniperBurst
GEMINI MK-5 Force-Master's Robe,dps,sorc,dpssorc,1435,sorcBurst
GEMINI MK-5 Force-Mystic's Robe,healer,sorc,healersorc,1442,sorcHealer
GEMINI MK-5 Stalker's Robe,dps,sin,dpssin,1464,sinBurst
GEMINI MK-5 Supercommando's Body Armor,tank,pt,tankpt,1469,ptTank
GEMINI MK-5 Survivor's Robe,tank,sin,tanksin,1482,sinTank
GEMINI MK-5 Vindicator's Chestguard,dps,jugg,dpsjugg,1487,juggSust
GEMINI MK-5 War Leader's Chestguard,tank,jugg,tankjugg,1494,juggTank
GEMINI MK-5 Weaponmaster's Chestguard,dps,mara,dpsmara,1503,maraSust
Iokath MK-1 Combat Medic's Body Armor,healer,merc,healermerc,1515,mercHealer
Iokath MK-1 Combat Tech's Body Armor,dps,pt,dpspt,1522,ptSust
Iokath MK-1 Eliminator's Body Armor,dps,merc,dpsmerc,1532,mercBurst
Iokath MK-1 Enforcer's Jacket,dps,op,dpsop,1545,opBurst
Iokath MK-1 Field Medic's Jacket,healer,op,healerop,1552,opHealer
Iokath MK-1 Field Tech's Jacket,dps,sniper,dpssniper,1559,sniperBurst
Iokath MK-1 Force-Master's Robe,dps,sorc,dpssorc,1572,sorcBurst
Iokath MK-1 Force-Mystic's Robe,healer,sorc,healersorc,1579,sorcHealer
Iokath MK-1 Stalker's Robe,dps,sin,dpssin,1601,sinBurst
Iokath MK-1 Supercommando's Body Armor,tank,pt,tankpt,1606,ptTank
Iokath MK-1 Survivor's Robe,tank,sin,tanksin,1619,sinTank
Iokath MK-1 Vindicator's Chestguard,dps,jugg,dpsjugg,1624,juggSust
Iokath MK-1 War Leader's Chestguard,tank,jugg,tankjugg,1631,juggTank
Iokath MK-1 Weaponmaster's Chestguard,dps,mara,dpsmara,1640,maraSust
Iokath MK-2 Combat Medic's Body Armor,healer,merc,healermerc,1652,mercHealer
Iokath MK-2 Combat Tech's Body Armor,dps,pt,dpspt,1659,ptSust
Iokath MK-2 Eliminator's Body Armor,dps,merc,dpsmerc,1669,mercBurst
Iokath MK-2 Enforcer's Jacket,dps,op,dpsop,1682,opBurst
Iokath MK-2 Field Medic's Jacket,healer,op,healerop,1689,opHealer
Iokath MK-2 Field Tech's Jacket,dps,sniper,dpssniper,1696,sniperBurst
Iokath MK-2 Force-Master's Robe,dps,sorc,dpssorc,1709,sorcBurst
Iokath MK-2 Force-Mystic's Robe,healer,sorc,healersorc,1716,sorcHealer
Iokath MK-2 Stalker's Robe,dps,sin,dpssin,1738,sinBurst
Iokath MK-2 Supercommando's Body Armor,tank,pt,tankpt,1743,ptTank
Iokath MK-2 Survivor's Robe,tank,sin,tanksin,1756,sinTank
Iokath MK-2 Vindicator's Chestguard,dps,jugg,dpsjugg,1761,juggSust
Iokath MK-2 War Leader's Chestguard,tank,jugg,tankjugg,1768,juggTank
Iokath MK-2 Weaponmaster's Chestguard,dps,mara,dpsmara,1777,maraSust
Iokath MK-3 Combat Medic's Body Armor,healer,merc,healermerc,1789,mercHealer
Iokath MK-3 Combat Tech's Body Armor,dps,pt,dpspt,1796,ptSust
Iokath MK-3 Eliminator's Body Armor,dps,merc,dpsmerc,1806,mercBurst
Iokath MK-3 Enforcer's Jacket,dps,op,dpsop,1819,opBurst
Iokath MK-3 Field Medic's Jacket,healer,op,healerop,1826,opHealer
Iokath MK-3 Field Tech's Jacket,dps,sniper,dpssniper,1833,sniperBurst
Iokath MK-3 Force-Master's Robe,dps,sorc,dpssorc,1846,sorcBurst
Iokath MK-3 Force-Mystic's Robe,healer,sorc,healersorc,1853,sorcHealer
Iokath MK-3 Stalker's Robe,dps,sin,dpssin,1875,sinBurst
Iokath MK-3 Supercommando's Body Armor,tank,pt,tankpt,1880,ptTank
Iokath MK-3 Survivor's Robe,tank,sin,tanksin,1893,sinTank
Iokath MK-3 Vindicator's Chestguard,dps,jugg,dpsjugg,1898,juggSust
Iokath MK-3 War Leader's Chestguard,tank,jugg,tankjugg,1905,juggTank
Iokath MK-3 Weaponmaster's Chestguard,dps,mara,dpsmara,1914,maraSust
Iokath MK-5 Combat Medic's Body Armor,healer,merc,healermerc,1926,mercHealer
Iokath MK-5 Combat Tech's Body Armor,dps,pt,dpspt,1933,ptSust
Iokath MK-5 Eliminator's Body Armor,dps,merc,dpsmerc,1943,mercBurst
Iokath MK-5 Enforcer's Jacket,dps,op,dpsop,1956,opBurst
Iokath MK-5 Field Medic's Jacket,healer,op,healerop,1963,opHealer
Iokath MK-5 Field Tech's Jacket,dps,sniper,dpssniper,1970,sniperBurst
Iokath MK-5 Force-Master's Robe,dps,sorc,dpssorc,1983,sorcBurst
Iokath MK-5 Force-Mystic's Robe,healer,sorc,healersorc,1990,sorcHealer
Iokath MK-5 Stalker's Robe,dps,sin,dpssin,2012,sinBurst
Iokath MK-5 Supercommando's Body Armor,tank,pt,tankpt,2017,ptTank
Iokath MK-5 Survivor's Robe,tank,sin,tanksin,2030,sinTank
Iokath MK-5 Vindicator's Chestguard,dps,jugg,dpsjugg,2035,juggSust
Iokath MK-5 War Leader's Chestguard,tank,jugg,tankjugg,2042,juggTank
Iokath MK-5 Weaponmaster's Chestguard,dps,mara,dpsmara,2051,maraSust
Eternal Commander MK-1 Combat Medic's Boots,healer,merc,healermerc,9,mercHealer
Eternal Commander MK-1 Combat Tech's Boots,dps,pt,dpspt,16,ptSust
Eternal Commander MK-1 Eliminator's Boots,dps,merc,dpsmerc,26,mercBurst
Eternal Commander MK-1 Enforcer's Boots,dps,op,dpsop,34,opBurst
Eternal Commander MK-1 Field Medic's Boots,healer,op,healerop,41,opHealer
Eternal Commander MK-1 Field Tech's Boots,dps,sniper,dpssniper,48,sniperBurst
Eternal Commander MK-1 Force-Master's Boots,dps,sorc,dpssorc,58,sorcBurst
Eternal Commander MK-1 Force-Mystic's Boots,healer,sorc,healersorc,67,sorcHealer
Eternal Commander MK-1 Stalker's Boots,dps,sin,dpssin,89,sinBurst
Eternal Commander MK-1 Supercommando's Boots,tank,pt,tankpt,100,ptTank
Eternal Commander MK-1 Survivor's Boots,tank,sin,tanksin,107,sinTank
Eternal Commander MK-1 Vindicator's Boots,dps,jugg,dpsjugg,116,juggSust
Eternal Commander MK-1 War Leader's Boots,tank,jugg,tankjugg,123,juggTank
Eternal Commander MK-1 Weaponmaster's Boots,dps,mara,dpsmara,132,maraSust
Eternal Commander MK-11 Combat Medic's Boots,healer,merc,healermerc,146,mercHealer
Eternal Commander MK-11 Combat Tech's Boots,dps,pt,dpspt,153,ptSust
Eternal Commander MK-11 Eliminator's Boots,dps,merc,dpsmerc,163,mercBurst
Eternal Commander MK-11 Enforcer's Boots,dps,op,dpsop,171,opBurst
Eternal Commander MK-11 Field Medic's Boots,healer,op,healerop,178,opHealer
Eternal Commander MK-11 Field Tech's Boots,dps,sniper,dpssniper,185,sniperBurst
Eternal Commander MK-11 Force-Master's Boots,dps,sorc,dpssorc,195,sorcBurst
Eternal Commander MK-11 Force-Mystic's Boots,healer,sorc,healersorc,204,sorcHealer
Eternal Commander MK-11 Stalker's Boots,dps,sin,dpssin,226,sinBurst
Eternal Commander MK-11 Supercommando's Boots,tank,pt,tankpt,237,ptTank
Eternal Commander MK-11 Survivor's Boots,tank,sin,tanksin,244,sinTank
Eternal Commander MK-11 Vindicator's Boots,dps,jugg,dpsjugg,253,juggSust
Eternal Commander MK-11 War Leader's Boots,tank,jugg,tankjugg,260,juggTank
Eternal Commander MK-11 Weaponmaster's Boots,dps,mara,dpsmara,269,maraSust
Eternal Commander MK-12 Combat Medic's Boots,healer,merc,healermerc,283,mercHealer
Eternal Commander MK-12 Combat Tech's Boots,dps,pt,dpspt,290,ptSust
Eternal Commander MK-12 Eliminator's Boots,dps,merc,dpsmerc,300,mercBurst
Eternal Commander MK-12 Enforcer's Boots,dps,op,dpsop,308,opBurst
Eternal Commander MK-12 Field Medic's Boots,healer,op,healerop,315,opHealer
Eternal Commander MK-12 Field Tech's Boots,dps,sniper,dpssniper,322,sniperBurst
Eternal Commander MK-12 Force-Master's Boots,dps,sorc,dpssorc,332,sorcBurst
Eternal Commander MK-12 Force-Mystic's Boots,healer,sorc,healersorc,341,sorcHealer
Eternal Commander MK-12 Stalker's Boots,dps,sin,dpssin,363,sinBurst
Eternal Commander MK-12 Supercommando's Boots,tank,pt,tankpt,374,ptTank
Eternal Commander MK-12 Survivor's Boots,tank,sin,tanksin,381,sinTank
Eternal Commander MK-12 Vindicator's Boots,dps,jugg,dpsjugg,390,juggSust
Eternal Commander MK-12 War Leader's Boots,tank,jugg,tankjugg,397,juggTank
Eternal Commander MK-12 Weaponmaster's Boots,dps,mara,dpsmara,406,maraSust
Eternal Commander MK-13 Combat Medic's Boots,healer,merc,healermerc,420,mercHealer
Eternal Commander MK-13 Combat Tech's Boots,dps,pt,dpspt,427,ptSust
Eternal Commander MK-13 Eliminator's Boots,dps,merc,dpsmerc,437,mercBurst
Eternal Commander MK-13 Enforcer's Boots,dps,op,dpsop,445,opBurst
Eternal Commander MK-13 Field Medic's Boots,healer,op,healerop,452,opHealer
Eternal Commander MK-13 Field Tech's Boots,dps,sniper,dpssniper,459,sniperBurst
Eternal Commander MK-13 Force-Master's Boots,dps,sorc,dpssorc,469,sorcBurst
Eternal Commander MK-13 Force-Mystic's Boots,healer,sorc,healersorc,478,sorcHealer
Eternal Commander MK-13 Stalker's Boots,dps,sin,dpssin,500,sinBurst
Eternal Commander MK-13 Supercommando's Boots,tank,pt,tankpt,511,ptTank
Eternal Commander MK-13 Survivor's Boots,tank,sin,tanksin,518,sinTank
Eternal Commander MK-13 Vindicator's Boots,dps,jugg,dpsjugg,527,juggSust
Eternal Commander MK-13 War Leader's Boots,tank,jugg,tankjugg,534,juggTank
Eternal Commander MK-13 Weaponmaster's Boots,dps,mara,dpsmara,543,maraSust
Eternal Commander MK-15 Combat Medic's Boots,healer,merc,healermerc,557,mercHealer
Eternal Commander MK-15 Combat Tech's Boots,dps,pt,dpspt,564,ptSust
Eternal Commander MK-15 Eliminator's Boots,dps,merc,dpsmerc,574,mercBurst
Eternal Commander MK-15 Enforcer's Boots,dps,op,dpsop,582,opBurst
Eternal Commander MK-15 Field Medic's Boots,healer,op,healerop,589,opHealer
Eternal Commander MK-15 Field Tech's Boots,dps,sniper,dpssniper,596,sniperBurst
Eternal Commander MK-15 Force-Master's Boots,dps,sorc,dpssorc,606,sorcBurst
Eternal Commander MK-15 Force-Mystic's Boots,healer,sorc,healersorc,615,sorcHealer
Eternal Commander MK-15 Stalker's Boots,dps,sin,dpssin,637,sinBurst
Eternal Commander MK-15 Supercommando's Boots,tank,pt,tankpt,648,ptTank
Eternal Commander MK-15 Survivor's Boots,tank,sin,tanksin,655,sinTank
Eternal Commander MK-15 Vindicator's Boots,dps,jugg,dpsjugg,664,juggSust
Eternal Commander MK-15 War Leader's Boots,tank,jugg,tankjugg,671,juggTank
Eternal Commander MK-15 Weaponmaster's Boots,dps,mara,dpsmara,680,maraSust
Eternal Commander MK-2 Combat Medic's Boots,healer,merc,healermerc,694,mercHealer
Eternal Commander MK-2 Combat Tech's Boots,dps,pt,dpspt,701,ptSust
Eternal Commander MK-2 Eliminator's Boots,dps,merc,dpsmerc,711,mercBurst
Eternal Commander MK-2 Enforcer's Boots,dps,op,dpsop,719,opBurst
Eternal Commander MK-2 Field Medic's Boots,healer,op,healerop,726,opHealer
Eternal Commander MK-2 Field Tech's Boots,dps,sniper,dpssniper,733,sniperBurst
Eternal Commander MK-2 Force-Master's Boots,dps,sorc,dpssorc,743,sorcBurst
Eternal Commander MK-2 Force-Mystic's Boots,healer,sorc,healersorc,752,sorcHealer
Eternal Commander MK-2 Stalker's Boots,dps,sin,dpssin,774,sinBurst
Eternal Commander MK-2 Supercommando's Boots,tank,pt,tankpt,785,ptTank
Eternal Commander MK-2 Survivor's Boots,tank,sin,tanksin,792,sinTank
Eternal Commander MK-2 Vindicator's Boots,dps,jugg,dpsjugg,801,juggSust
Eternal Commander MK-2 War Leader's Boots,tank,jugg,tankjugg,808,juggTank
Eternal Commander MK-2 Weaponmaster's Boots,dps,mara,dpsmara,817,maraSust
Eternal Commander MK-3 Combat Medic's Boots,healer,merc,healermerc,831,mercHealer
Eternal Commander MK-3 Combat Tech's Boots,dps,pt,dpspt,838,ptSust
Eternal Commander MK-3 Eliminator's Boots,dps,merc,dpsmerc,848,mercBurst
Eternal Commander MK-3 Enforcer's Boots,dps,op,dpsop,856,opBurst
Eternal Commander MK-3 Field Medic's Boots,healer,op,healerop,863,opHealer
Eternal Commander MK-3 Field Tech's Boots,dps,sniper,dpssniper,870,sniperBurst
Eternal Commander MK-3 Force-Master's Boots,dps,sorc,dpssorc,880,sorcBurst
Eternal Commander MK-3 Force-Mystic's Boots,healer,sorc,healersorc,889,sorcHealer
Eternal Commander MK-3 Stalker's Boots,dps,sin,dpssin,911,sinBurst
Eternal Commander MK-3 Supercommando's Boots,tank,pt,tankpt,922,ptTank
Eternal Commander MK-3 Survivor's Boots,tank,sin,tanksin,929,sinTank
Eternal Commander MK-3 Vindicator's Boots,dps,jugg,dpsjugg,938,juggSust
Eternal Commander MK-3 War Leader's Boots,tank,jugg,tankjugg,945,juggTank
Eternal Commander MK-3 Weaponmaster's Boots,dps,mara,dpsmara,954,maraSust
GEMINI MK-1 Combat Medic's Boots,healer,merc,healermerc,968,mercHealer
GEMINI MK-1 Combat Tech's Boots,dps,pt,dpspt,975,ptSust
GEMINI MK-1 Eliminator's Boots,dps,merc,dpsmerc,985,mercBurst
GEMINI MK-1 Enforcer's Boots,dps,op,dpsop,993,opBurst
GEMINI MK-1 Field Medic's Boots,healer,op,healerop,1000,opHealer
GEMINI MK-1 Field Tech's Boots,dps,sniper,dpssniper,1007,sniperBurst
GEMINI MK-1 Force-Master's Boots,dps,sorc,dpssorc,1017,sorcBurst
GEMINI MK-1 Force-Mystic's Boots,healer,sorc,healersorc,1026,sorcHealer
GEMINI MK-1 Stalker's Boots,dps,sin,dpssin,1048,sinBurst
GEMINI MK-1 Supercommando's Boots,tank,pt,tankpt,1059,ptTank
GEMINI MK-1 Survivor's Boots,tank,sin,tanksin,1066,sinTank
GEMINI MK-1 Vindicator's Boots,dps,jugg,dpsjugg,1075,juggSust
GEMINI MK-1 War Leader's Boots,tank,jugg,tankjugg,1082,juggTank
GEMINI MK-1 Weaponmaster's Boots,dps,mara,dpsmara,1091,maraSust
GEMINI MK-2 Combat Medic's Boots,healer,merc,healermerc,1105,mercHealer
GEMINI MK-2 Combat Tech's Boots,dps,pt,dpspt,1112,ptSust
GEMINI MK-2 Eliminator's Boots,dps,merc,dpsmerc,1122,mercBurst
GEMINI MK-2 Enforcer's Boots,dps,op,dpsop,1130,opBurst
GEMINI MK-2 Field Medic's Boots,healer,op,healerop,1137,opHealer
GEMINI MK-2 Field Tech's Boots,dps,sniper,dpssniper,1144,sniperBurst
GEMINI MK-2 Force-Master's Boots,dps,sorc,dpssorc,1154,sorcBurst
GEMINI MK-2 Force-Mystic's Boots,healer,sorc,healersorc,1163,sorcHealer
GEMINI MK-2 Stalker's Boots,dps,sin,dpssin,1185,sinBurst
GEMINI MK-2 Supercommando's Boots,tank,pt,tankpt,1196,ptTank
GEMINI MK-2 Survivor's Boots,tank,sin,tanksin,1203,sinTank
GEMINI MK-2 Vindicator's Boots,dps,jugg,dpsjugg,1212,juggSust
