tempOrder,ItemId,tempName,tempSlot,tempRating,tempColor,tempRole,tempClass,tempItemModSlot,tempKey,ItemModId,tempItemModName,tempDynamicSlot,tempModColor
36,339,Eternal Commander MK-12 Force-Master's Robe,chest,234,blue,dps,sorc,armoring,234bluearmoring,11,Versatile Armoring 52,,blue
37,346,Eternal Commander MK-12 Force-Mystic's Robe,chest,234,blue,healer,sorc,armoring,234bluearmoring,11,Versatile Armoring 52,,blue
38,368,Eternal Commander MK-12 Stalker's Robe,chest,234,blue,dps,sin,armoring,234bluearmoring,11,Versatile Armoring 52,,blue
39,373,Eternal Commander MK-12 Supercommando's Body Armor,chest,234,blue,tank,pt,armoring,234bluearmoring,10,Resistive Armoring 52,,blue
40,386,Eternal Commander MK-12 Survivor's Robe,chest,234,blue,tank,sin,armoring,234bluearmoring,10,Resistive Armoring 52,,blue
41,391,Eternal Commander MK-12 Vindicator's Chestguard,chest,234,blue,dps,jugg,armoring,234bluearmoring,11,Versatile Armoring 52,,blue
42,398,Eternal Commander MK-12 War Leader's Chestguard,chest,234,blue,tank,jugg,armoring,234bluearmoring,10,Resistive Armoring 52,,blue
43,407,Eternal Commander MK-12 Weaponmaster's Chestguard,chest,234,blue,dps,mara,armoring,234bluearmoring,11,Versatile Armoring 52,,blue
44,419,Eternal Commander MK-13 Combat Medic's Body Armor,chest,234,purple,healer,merc,armoring,234purplearmoring,13,Advanced Versatile Armoring 48,,purple
45,426,Eternal Commander MK-13 Combat Tech's Body Armor,chest,234,purple,dps,pt,armoring,234purplearmoring,13,Advanced Versatile Armoring 48,,purple
46,436,Eternal Commander MK-13 Eliminator's Body Armor,chest,234,purple,dps,merc,armoring,234purplearmoring,13,Advanced Versatile Armoring 48,,purple
47,449,Eternal Commander MK-13 Enforcer's Jacket,chest,234,purple,dps,op,armoring,234purplearmoring,13,Advanced Versatile Armoring 48,,purple
48,456,Eternal Commander MK-13 Field Medic's Jacket,chest,234,purple,healer,op,armoring,234purplearmoring,13,Advanced Versatile Armoring 48,,purple
49,463,Eternal Commander MK-13 Field Tech's Jacket,chest,234,purple,dps,sniper,armoring,234purplearmoring,13,Advanced Versatile Armoring 48,,purple
50,476,Eternal Commander MK-13 Force-Master's Robe,chest,234,purple,dps,sorc,armoring,234purplearmoring,13,Advanced Versatile Armoring 48,,purple
51,483,Eternal Commander MK-13 Force-Mystic's Robe,chest,234,purple,healer,sorc,armoring,234purplearmoring,13,Advanced Versatile Armoring 48,,purple
52,505,Eternal Commander MK-13 Stalker's Robe,chest,234,purple,dps,sin,armoring,234purplearmoring,13,Advanced Versatile Armoring 48,,purple
53,510,Eternal Commander MK-13 Supercommando's Body Armor,chest,234,purple,tank,pt,armoring,234purplearmoring,12,Advanced Resistive Armoring 48,,purple
54,523,Eternal Commander MK-13 Survivor's Robe,chest,234,purple,tank,sin,armoring,234purplearmoring,12,Advanced Resistive Armoring 48,,purple
55,528,Eternal Commander MK-13 Vindicator's Chestguard,chest,234,purple,dps,jugg,armoring,234purplearmoring,13,Advanced Versatile Armoring 48,,purple
56,535,Eternal Commander MK-13 War Leader's Chestguard,chest,234,purple,tank,jugg,armoring,234purplearmoring,12,Advanced Resistive Armoring 48,,purple
57,544,Eternal Commander MK-13 Weaponmaster's Chestguard,chest,234,purple,dps,mara,armoring,234purplearmoring,13,Advanced Versatile Armoring 48,,purple
58,556,Eternal Commander MK-15 Combat Medic's Body Armor,chest,236,gold,healer,merc,armoring,236goldarmoring,15,Versatile Armoring 46,,gold
59,563,Eternal Commander MK-15 Combat Tech's Body Armor,chest,236,gold,dps,pt,armoring,236goldarmoring,15,Versatile Armoring 46,,gold
60,573,Eternal Commander MK-15 Eliminator's Body Armor,chest,236,gold,dps,merc,armoring,236goldarmoring,15,Versatile Armoring 46,,gold
61,586,Eternal Commander MK-15 Enforcer's Jacket,chest,236,gold,dps,op,armoring,236goldarmoring,15,Versatile Armoring 46,,gold
62,593,Eternal Commander MK-15 Field Medic's Jacket,chest,236,gold,healer,op,armoring,236goldarmoring,15,Versatile Armoring 46,,gold
63,600,Eternal Commander MK-15 Field Tech's Jacket,chest,236,gold,dps,sniper,armoring,236goldarmoring,15,Versatile Armoring 46,,gold
64,613,Eternal Commander MK-15 Force-Master's Robe,chest,236,gold,dps,sorc,armoring,236goldarmoring,15,Versatile Armoring 46,,gold
65,620,Eternal Commander MK-15 Force-Mystic's Robe,chest,236,gold,healer,sorc,armoring,236goldarmoring,15,Versatile Armoring 46,,gold
66,642,Eternal Commander MK-15 Stalker's Robe,chest,236,gold,dps,sin,armoring,236goldarmoring,15,Versatile Armoring 46,,gold
67,647,Eternal Commander MK-15 Supercommando's Body Armor,chest,236,gold,tank,pt,armoring,236goldarmoring,14,Resistive Armoring 46,,gold
68,660,Eternal Commander MK-15 Survivor's Robe,chest,236,gold,tank,sin,armoring,236goldarmoring,14,Resistive Armoring 46,,gold
69,665,Eternal Commander MK-15 Vindicator's Chestguard,chest,236,gold,dps,jugg,armoring,236goldarmoring,15,Versatile Armoring 46,,gold
70,672,Eternal Commander MK-15 War Leader's Chestguard,chest,236,gold,tank,jugg,armoring,236goldarmoring,14,Resistive Armoring 46,,gold
71,681,Eternal Commander MK-15 Weaponmaster's Chestguard,chest,236,gold,dps,mara,armoring,236goldarmoring,15,Versatile Armoring 46,,gold
72,693,Eternal Commander MK-2 Combat Medic's Body Armor,chest,230,blue,healer,merc,armoring,230bluearmoring,5,Versatile Armoring 50,,blue
73,700,Eternal Commander MK-2 Combat Tech's Body Armor,chest,230,blue,dps,pt,armoring,230bluearmoring,5,Versatile Armoring 50,,blue
74,710,Eternal Commander MK-2 Eliminator's Body Armor,chest,230,blue,dps,merc,armoring,230bluearmoring,5,Versatile Armoring 50,,blue
75,723,Eternal Commander MK-2 Enforcer's Jacket,chest,230,blue,dps,op,armoring,230bluearmoring,5,Versatile Armoring 50,,blue
76,730,Eternal Commander MK-2 Field Medic's Jacket,chest,230,blue,healer,op,armoring,230bluearmoring,5,Versatile Armoring 50,,blue
77,737,Eternal Commander MK-2 Field Tech's Jacket,chest,230,blue,dps,sniper,armoring,230bluearmoring,5,Versatile Armoring 50,,blue
78,750,Eternal Commander MK-2 Force-Master's Robe,chest,230,blue,dps,sorc,armoring,230bluearmoring,5,Versatile Armoring 50,,blue
79,757,Eternal Commander MK-2 Force-Mystic's Robe,chest,230,blue,healer,sorc,armoring,230bluearmoring,5,Versatile Armoring 50,,blue
80,779,Eternal Commander MK-2 Stalker's Robe,chest,230,blue,dps,sin,armoring,230bluearmoring,5,Versatile Armoring 50,,blue
81,784,Eternal Commander MK-2 Supercommando's Body Armor,chest,230,blue,tank,pt,armoring,230bluearmoring,4,Resistive Armoring 50,,blue
82,797,Eternal Commander MK-2 Survivor's Robe,chest,230,blue,tank,sin,armoring,230bluearmoring,4,Resistive Armoring 50,,blue
83,802,Eternal Commander MK-2 Vindicator's Chestguard,chest,230,blue,dps,jugg,armoring,230bluearmoring,5,Versatile Armoring 50,,blue
84,809,Eternal Commander MK-2 War Leader's Chestguard,chest,230,blue,tank,jugg,armoring,230bluearmoring,4,Resistive Armoring 50,,blue
85,818,Eternal Commander MK-2 Weaponmaster's Chestguard,chest,230,blue,dps,mara,armoring,230bluearmoring,5,Versatile Armoring 50,,blue
86,830,Eternal Commander MK-3 Combat Medic's Body Armor,chest,230,purple,healer,merc,armoring,230purplearmoring,7,Advanced Versatile Armoring 46,,purple
87,837,Eternal Commander MK-3 Combat Tech's Body Armor,chest,230,purple,dps,pt,armoring,230purplearmoring,7,Advanced Versatile Armoring 46,,purple
88,847,Eternal Commander MK-3 Eliminator's Body Armor,chest,230,purple,dps,merc,armoring,230purplearmoring,7,Advanced Versatile Armoring 46,,purple
89,860,Eternal Commander MK-3 Enforcer's Jacket,chest,230,purple,dps,op,armoring,230purplearmoring,7,Advanced Versatile Armoring 46,,purple
90,867,Eternal Commander MK-3 Field Medic's Jacket,chest,230,purple,healer,op,armoring,230purplearmoring,7,Advanced Versatile Armoring 46,,purple
91,874,Eternal Commander MK-3 Field Tech's Jacket,chest,230,purple,dps,sniper,armoring,230purplearmoring,7,Advanced Versatile Armoring 46,,purple
92,887,Eternal Commander MK-3 Force-Master's Robe,chest,230,purple,dps,sorc,armoring,230purplearmoring,7,Advanced Versatile Armoring 46,,purple
93,894,Eternal Commander MK-3 Force-Mystic's Robe,chest,230,purple,healer,sorc,armoring,230purplearmoring,7,Advanced Versatile Armoring 46,,purple
94,916,Eternal Commander MK-3 Stalker's Robe,chest,230,purple,dps,sin,armoring,230purplearmoring,7,Advanced Versatile Armoring 46,,purple
95,921,Eternal Commander MK-3 Supercommando's Body Armor,chest,230,purple,tank,pt,armoring,230purplearmoring,6,Advanced Resistive Armoring 46,,purple
96,934,Eternal Commander MK-3 Survivor's Robe,chest,230,purple,tank,sin,armoring,230purplearmoring,6,Advanced Resistive Armoring 46,,purple
97,939,Eternal Commander MK-3 Vindicator's Chestguard,chest,230,purple,dps,jugg,armoring,230purplearmoring,7,Advanced Versatile Armoring 46,,purple
98,946,Eternal Commander MK-3 War Leader's Chestguard,chest,230,purple,tank,jugg,armoring,230purplearmoring,6,Advanced Resistive Armoring 46,,purple
99,955,Eternal Commander MK-3 Weaponmaster's Chestguard,chest,230,purple,dps,mara,armoring,230purplearmoring,7,Advanced Versatile Armoring 46,,purple
100,967,GEMINI MK-1 Combat Medic's Body Armor,chest,244,green,healer,merc,armoring,244greenarmoring,25,Versatile Armoring 62,,green
101,974,GEMINI MK-1 Combat Tech's Body Armor,chest,244,green,dps,pt,armoring,244greenarmoring,25,Versatile Armoring 62,,green
102,984,GEMINI MK-1 Eliminator's Body Armor,chest,244,green,dps,merc,armoring,244greenarmoring,25,Versatile Armoring 62,,green
103,997,GEMINI MK-1 Enforcer's Jacket,chest,244,green,dps,op,armoring,244greenarmoring,25,Versatile Armoring 62,,green
104,1004,GEMINI MK-1 Field Medic's Jacket,chest,244,green,healer,op,armoring,244greenarmoring,25,Versatile Armoring 62,,green
105,1011,GEMINI MK-1 Field Tech's Jacket,chest,244,green,dps,sniper,armoring,244greenarmoring,25,Versatile Armoring 62,,green
106,1024,GEMINI MK-1 Force-Master's Robe,chest,244,green,dps,sorc,armoring,244greenarmoring,25,Versatile Armoring 62,,green
107,1031,GEMINI MK-1 Force-Mystic's Robe,chest,244,green,healer,sorc,armoring,244greenarmoring,25,Versatile Armoring 62,,green
108,1053,GEMINI MK-1 Stalker's Robe,chest,244,green,dps,sin,armoring,244greenarmoring,25,Versatile Armoring 62,,green
109,1058,GEMINI MK-1 Supercommando's Body Armor,chest,244,green,tank,pt,armoring,244greenarmoring,24,Resistive Armoring 62,,green
110,1071,GEMINI MK-1 Survivor's Robe,chest,244,green,tank,sin,armoring,244greenarmoring,24,Resistive Armoring 62,,green
111,1076,GEMINI MK-1 Vindicator's Chestguard,chest,244,green,dps,jugg,armoring,244greenarmoring,25,Versatile Armoring 62,,green
112,1083,GEMINI MK-1 War Leader's Chestguard,chest,244,green,tank,jugg,armoring,244greenarmoring,24,Resistive Armoring 62,,green
113,1092,GEMINI MK-1 Weaponmaster's Chestguard,chest,244,green,dps,mara,armoring,244greenarmoring,25,Versatile Armoring 62,,green
114,1104,GEMINI MK-2 Combat Medic's Body Armor,chest,244,blue,healer,merc,armoring,244bluearmoring,27,Versatile Armoring 57,,blue
115,1111,GEMINI MK-2 Combat Tech's Body Armor,chest,244,blue,dps,pt,armoring,244bluearmoring,27,Versatile Armoring 57,,blue
116,1121,GEMINI MK-2 Eliminator's Body Armor,chest,244,blue,dps,merc,armoring,244bluearmoring,27,Versatile Armoring 57,,blue
117,1134,GEMINI MK-2 Enforcer's Jacket,chest,244,blue,dps,op,armoring,244bluearmoring,27,Versatile Armoring 57,,blue
118,1141,GEMINI MK-2 Field Medic's Jacket,chest,244,blue,healer,op,armoring,244bluearmoring,27,Versatile Armoring 57,,blue
119,1148,GEMINI MK-2 Field Tech's Jacket,chest,244,blue,dps,sniper,armoring,244bluearmoring,27,Versatile Armoring 57,,blue
120,1161,GEMINI MK-2 Force-Master's Robe,chest,244,blue,dps,sorc,armoring,244bluearmoring,27,Versatile Armoring 57,,blue
121,1168,GEMINI MK-2 Force-Mystic's Robe,chest,244,blue,healer,sorc,armoring,244bluearmoring,27,Versatile Armoring 57,,blue
122,1190,GEMINI MK-2 Stalker's Robe,chest,244,blue,dps,sin,armoring,244bluearmoring,27,Versatile Armoring 57,,blue
123,1195,GEMINI MK-2 Supercommando's Body Armor,chest,244,blue,tank,pt,armoring,244bluearmoring,26,Resistive Armoring 57,,blue
124,1208,GEMINI MK-2 Survivor's Robe,chest,244,blue,tank,sin,armoring,244bluearmoring,26,Resistive Armoring 57,,blue
125,1213,GEMINI MK-2 Vindicator's Chestguard,chest,244,blue,dps,jugg,armoring,244bluearmoring,27,Versatile Armoring 57,,blue
126,1220,GEMINI MK-2 War Leader's Chestguard,chest,244,blue,tank,jugg,armoring,244bluearmoring,26,Resistive Armoring 57,,blue
127,1229,GEMINI MK-2 Weaponmaster's Chestguard,chest,244,blue,dps,mara,armoring,244bluearmoring,27,Versatile Armoring 57,,blue
128,1241,GEMINI MK-3 Combat Medic's Body Armor,chest,246,purple,healer,merc,armoring,246purplearmoring,29,Advanced Versatile Armoring 54,,purple
129,1248,GEMINI MK-3 Combat Tech's Body Armor,chest,246,purple,dps,pt,armoring,246purplearmoring,29,Advanced Versatile Armoring 54,,purple
130,1258,GEMINI MK-3 Eliminator's Body Armor,chest,246,purple,dps,merc,armoring,246purplearmoring,29,Advanced Versatile Armoring 54,,purple
131,1271,GEMINI MK-3 Enforcer's Jacket,chest,246,purple,dps,op,armoring,246purplearmoring,29,Advanced Versatile Armoring 54,,purple
132,1278,GEMINI MK-3 Field Medic's Jacket,chest,246,purple,healer,op,armoring,246purplearmoring,29,Advanced Versatile Armoring 54,,purple
133,1285,GEMINI MK-3 Field Tech's Jacket,chest,246,purple,dps,sniper,armoring,246purplearmoring,29,Advanced Versatile Armoring 54,,purple
134,1298,GEMINI MK-3 Force-Master's Robe,chest,246,purple,dps,sorc,armoring,246purplearmoring,29,Advanced Versatile Armoring 54,,purple
135,1305,GEMINI MK-3 Force-Mystic's Robe,chest,246,purple,healer,sorc,armoring,246purplearmoring,29,Advanced Versatile Armoring 54,,purple
136,1327,GEMINI MK-3 Stalker's Robe,chest,246,purple,dps,sin,armoring,246purplearmoring,29,Advanced Versatile Armoring 54,,purple
137,1332,GEMINI MK-3 Supercommando's Body Armor,chest,246,purple,tank,pt,armoring,246purplearmoring,28,Advanced Resistive Armoring 54,,purple
138,1345,GEMINI MK-3 Survivor's Robe,chest,246,purple,tank,sin,armoring,246purplearmoring,28,Advanced Resistive Armoring 54,,purple
139,1350,GEMINI MK-3 Vindicator's Chestguard,chest,246,purple,dps,jugg,armoring,246purplearmoring,29,Advanced Versatile Armoring 54,,purple
140,1357,GEMINI MK-3 War Leader's Chestguard,chest,246,purple,tank,jugg,armoring,246purplearmoring,28,Advanced Resistive Armoring 54,,purple
141,1366,GEMINI MK-3 Weaponmaster's Chestguard,chest,246,purple,dps,mara,armoring,246purplearmoring,29,Advanced Versatile Armoring 54,,purple
142,1378,GEMINI MK-5 Combat Medic's Body Armor,chest,248,gold,healer,merc,armoring,248goldarmoring,31,Versatile Armoring 52,,gold
143,1385,GEMINI MK-5 Combat Tech's Body Armor,chest,248,gold,dps,pt,armoring,248goldarmoring,31,Versatile Armoring 52,,gold
144,1395,GEMINI MK-5 Eliminator's Body Armor,chest,248,gold,dps,merc,armoring,248goldarmoring,31,Versatile Armoring 52,,gold
145,1408,GEMINI MK-5 Enforcer's Jacket,chest,248,gold,dps,op,armoring,248goldarmoring,31,Versatile Armoring 52,,gold
146,1415,GEMINI MK-5 Field Medic's Jacket,chest,248,gold,healer,op,armoring,248goldarmoring,31,Versatile Armoring 52,,gold
147,1422,GEMINI MK-5 Field Tech's Jacket,chest,248,gold,dps,sniper,armoring,248goldarmoring,31,Versatile Armoring 52,,gold
148,1435,GEMINI MK-5 Force-Master's Robe,chest,248,gold,dps,sorc,armoring,248goldarmoring,31,Versatile Armoring 52,,gold
149,1442,GEMINI MK-5 Force-Mystic's Robe,chest,248,gold,healer,sorc,armoring,248goldarmoring,31,Versatile Armoring 52,,gold
150,1464,GEMINI MK-5 Stalker's Robe,chest,248,gold,dps,sin,armoring,248goldarmoring,31,Versatile Armoring 52,,gold
151,1469,GEMINI MK-5 Supercommando's Body Armor,chest,248,gold,tank,pt,armoring,248goldarmoring,30,Resistive Armoring 52,,gold
152,1482,GEMINI MK-5 Survivor's Robe,chest,248,gold,tank,sin,armoring,248goldarmoring,30,Resistive Armoring 52,,gold
153,1487,GEMINI MK-5 Vindicator's Chestguard,chest,248,gold,dps,jugg,armoring,248goldarmoring,31,Versatile Armoring 52,,gold
154,1494,GEMINI MK-5 War Leader's Chestguard,chest,248,gold,tank,jugg,armoring,248goldarmoring,30,Resistive Armoring 52,,gold
155,1503,GEMINI MK-5 Weaponmaster's Chestguard,chest,248,gold,dps,mara,armoring,248goldarmoring,31,Versatile Armoring 52,,gold
156,1515,Iokath MK-1 Combat Medic's Body Armor,chest,238,green,healer,merc,armoring,238greenarmoring,17,Versatile Armoring 59,,green
157,1522,Iokath MK-1 Combat Tech's Body Armor,chest,238,green,dps,pt,armoring,238greenarmoring,17,Versatile Armoring 59,,green
158,1532,Iokath MK-1 Eliminator's Body Armor,chest,238,green,dps,merc,armoring,238greenarmoring,17,Versatile Armoring 59,,green
159,1545,Iokath MK-1 Enforcer's Jacket,chest,238,green,dps,op,armoring,238greenarmoring,17,Versatile Armoring 59,,green
160,1552,Iokath MK-1 Field Medic's Jacket,chest,238,green,healer,op,armoring,238greenarmoring,17,Versatile Armoring 59,,green
161,1559,Iokath MK-1 Field Tech's Jacket,chest,238,green,dps,sniper,armoring,238greenarmoring,17,Versatile Armoring 59,,green
162,1572,Iokath MK-1 Force-Master's Robe,chest,238,green,dps,sorc,armoring,238greenarmoring,17,Versatile Armoring 59,,green
163,1579,Iokath MK-1 Force-Mystic's Robe,chest,238,green,healer,sorc,armoring,238greenarmoring,17,Versatile Armoring 59,,green
164,1601,Iokath MK-1 Stalker's Robe,chest,238,green,dps,sin,armoring,238greenarmoring,17,Versatile Armoring 59,,green
165,1606,Iokath MK-1 Supercommando's Body Armor,chest,238,green,tank,pt,armoring,238greenarmoring,16,Resistive Armoring 59,,green
166,1619,Iokath MK-1 Survivor's Robe,chest,238,green,tank,sin,armoring,238greenarmoring,16,Resistive Armoring 59,,green
167,1624,Iokath MK-1 Vindicator's Chestguard,chest,238,green,dps,jugg,armoring,238greenarmoring,17,Versatile Armoring 59,,green
168,1631,Iokath MK-1 War Leader's Chestguard,chest,238,green,tank,jugg,armoring,238greenarmoring,16,Resistive Armoring 59,,green
169,1640,Iokath MK-1 Weaponmaster's Chestguard,chest,238,green,dps,mara,armoring,238greenarmoring,17,Versatile Armoring 59,,green
170,1652,Iokath MK-2 Combat Medic's Body Armor,chest,240,blue,healer,merc,armoring,240bluearmoring,19,Versatile Armoring 55,,blue
171,1659,Iokath MK-2 Combat Tech's Body Armor,chest,240,blue,dps,pt,armoring,240bluearmoring,19,Versatile Armoring 55,,blue
172,1669,Iokath MK-2 Eliminator's Body Armor,chest,240,blue,dps,merc,armoring,240bluearmoring,19,Versatile Armoring 55,,blue
173,1682,Iokath MK-2 Enforcer's Jacket,chest,240,blue,dps,op,armoring,240bluearmoring,19,Versatile Armoring 55,,blue
174,1689,Iokath MK-2 Field Medic's Jacket,chest,240,blue,healer,op,armoring,240bluearmoring,19,Versatile Armoring 55,,blue
175,1696,Iokath MK-2 Field Tech's Jacket,chest,240,blue,dps,sniper,armoring,240bluearmoring,19,Versatile Armoring 55,,blue
176,1709,Iokath MK-2 Force-Master's Robe,chest,240,blue,dps,sorc,armoring,240bluearmoring,19,Versatile Armoring 55,,blue
177,1716,Iokath MK-2 Force-Mystic's Robe,chest,240,blue,healer,sorc,armoring,240bluearmoring,19,Versatile Armoring 55,,blue
178,1738,Iokath MK-2 Stalker's Robe,chest,240,blue,dps,sin,armoring,240bluearmoring,19,Versatile Armoring 55,,blue
179,1743,Iokath MK-2 Supercommando's Body Armor,chest,240,blue,tank,pt,armoring,240bluearmoring,18,Resistive Armoring 55,,blue
180,1756,Iokath MK-2 Survivor's Robe,chest,240,blue,tank,sin,armoring,240bluearmoring,18,Resistive Armoring 55,,blue
181,1761,Iokath MK-2 Vindicator's Chestguard,chest,240,blue,dps,jugg,armoring,240bluearmoring,19,Versatile Armoring 55,,blue
182,1768,Iokath MK-2 War Leader's Chestguard,chest,240,blue,tank,jugg,armoring,240bluearmoring,18,Resistive Armoring 55,,blue
183,1777,Iokath MK-2 Weaponmaster's Chestguard,chest,240,blue,dps,mara,armoring,240bluearmoring,19,Versatile Armoring 55,,blue
184,1789,Iokath MK-3 Combat Medic's Body Armor,chest,240,purple,healer,merc,armoring,240purplearmoring,21,Advanced Versatile Armoring 51,,purple
185,1796,Iokath MK-3 Combat Tech's Body Armor,chest,240,purple,dps,pt,armoring,240purplearmoring,21,Advanced Versatile Armoring 51,,purple
186,1806,Iokath MK-3 Eliminator's Body Armor,chest,240,purple,dps,merc,armoring,240purplearmoring,21,Advanced Versatile Armoring 51,,purple
187,1819,Iokath MK-3 Enforcer's Jacket,chest,240,purple,dps,op,armoring,240purplearmoring,21,Advanced Versatile Armoring 51,,purple
188,1826,Iokath MK-3 Field Medic's Jacket,chest,240,purple,healer,op,armoring,240purplearmoring,21,Advanced Versatile Armoring 51,,purple
189,1833,Iokath MK-3 Field Tech's Jacket,chest,240,purple,dps,sniper,armoring,240purplearmoring,21,Advanced Versatile Armoring 51,,purple
190,1846,Iokath MK-3 Force-Master's Robe,chest,240,purple,dps,sorc,armoring,240purplearmoring,21,Advanced Versatile Armoring 51,,purple
191,1853,Iokath MK-3 Force-Mystic's Robe,chest,240,purple,healer,sorc,armoring,240purplearmoring,21,Advanced Versatile Armoring 51,,purple
192,1875,Iokath MK-3 Stalker's Robe,chest,240,purple,dps,sin,armoring,240purplearmoring,21,Advanced Versatile Armoring 51,,purple
193,1880,Iokath MK-3 Supercommando's Body Armor,chest,240,purple,tank,pt,armoring,240purplearmoring,20,Advanced Resistive Armoring 51,,purple
194,1893,Iokath MK-3 Survivor's Robe,chest,240,purple,tank,sin,armoring,240purplearmoring,20,Advanced Resistive Armoring 51,,purple
195,1898,Iokath MK-3 Vindicator's Chestguard,chest,240,purple,dps,jugg,armoring,240purplearmoring,21,Advanced Versatile Armoring 51,,purple
196,1905,Iokath MK-3 War Leader's Chestguard,chest,240,purple,tank,jugg,armoring,240purplearmoring,20,Advanced Resistive Armoring 51,,purple
197,1914,Iokath MK-3 Weaponmaster's Chestguard,chest,240,purple,dps,mara,armoring,240purplearmoring,21,Advanced Versatile Armoring 51,,purple
